"""","園 数(園)"," [年齢別在園者数]_在園者総  数(人)"," [年齢別在園者数]_３歳 男(人)"," [年齢別在園者数]_３歳女(人)"," [年齢別在園者数]_４歳 男(人)"," [年齢別在園者数]_４歳 女(人)"," [年齢別在園者数]_５歳 男(人)"," [年齢別在園者数]_５歳 女(人)","本年度入園者総　数(人)","３　月修了者総　数(人)","本　務教員数(人)"
"昭和60年(1985年)","131.0","13490.0","767.0","684.0","2561.0","2543.0","3527.0","3408.0","7043.0","7380.0","737.0"
"平成 2年(1990年)","128.0","12799.0","947.0","905.0","2421.0","2334.0","3094.0","3098.0","6367.0","6262.0","745.0"
"平成 7年(1995年)","127.0","12139.0","1181.0","1054.0","2254.0","2272.0","2746.0","2632.0","5642.0","5668.0","777.0"
"平成12年(2000年)","127.0","11451.0","1194.0","1177.0","2039.0","2054.0","2513.0","2474.0","4938.0","5026.0","800.0"
"","","","","","","","","","","",""
"平成15年(2003年)","123.0","10680.0","1283.0","1294.0","1901.0","1857.0","2167.0","2178.0","4121.0","4608.0","762.0"
"平成16年(2004年)","122.0","10658.0","1428.0","1326.0","1815.0","1871.0","2138.0","2080.0","4132.0","4346.0","779.0"
"平成17年(2005年)","122.0","10599.0","1457.0","1376.0","1867.0","1786.0","2016.0","2097.0","3960.0","4228.0","795.0"
"","","","","","","","","","","",""
"平成18年(2006年)","120.0","10391.0","1388.0","1402.0","1824.0","1746.0","2072.0","1959.0","3708.0","4091.0","776.0"
"平成19年(2007年)","120.0","9894.0","1307.0","1319.0","1682.0","1712.0","1962.0","1912.0","3345.0","4015.0","774.0"
"平成20年(2008年)","118.0","9466.0","1343.0","1259.0","1602.0","1609.0","1810.0","1843.0","3227.0","3842.0","774.0"
"平成21年(2009年)","116.0","8895.0","1258.0","1213.0","1558.0","1470.0","1701.0","1695.0","2881.0","3609.0","757.0"
"平成22年(2010年)","117.0","8628.0","1291.0","1230.0","1465.0","1431.0","1662.0","1549.0","2736.0","3376.0","737.0"
"","","","","","","","","","","",""
"平成23年(2011年)","111.0","8499.0","1264.0","1265.0","1491.0","1410.0","1552.0","1517.0","2832.0","3172.0","726.0"
"平成24年(2012年)","106.0","8478.0","1276.0","1286.0","1421.0","1429.0","1562.0","1504.0","2709.0","3094.0","716.0"
"平成25年(2013年)","106.0","8301.0","1258.0","1233.0","1412.0","1430.0","1481.0","1487.0","2581.0","3020.0","708.0"
"平成26年(2014年)","106.0","8028.0","1211.0","1196.0","1371.0","1303.0","1441.0","1506.0","2271.0","2959.0","695.0"
"","","","","","","","","","","",""
"   和歌山市","34.0","4289.0","668.0","672.0","716.0","734.0","737.0","762.0","1103.0","1531.0","318.0"
"   海 南 市","13.0","464.0","85.0","69.0","71.0","65.0","74.0","100.0","169.0","162.0","60.0"
"   橋 本 市","10.0","443.0","49.0","61.0","93.0","61.0","95.0","84.0","130.0","153.0","46.0"
"   有 田 市","2.0","161.0","27.0","19.0","33.0","19.0","31.0","32.0","30.0","51.0","13.0"
"   御 坊 市","6.0","242.0","49.0","37.0","41.0","43.0","32.0","40.0","89.0","98.0","33.0"
"   田 辺 市","10.0","798.0","104.0","108.0","139.0","130.0","154.0","163.0","189.0","292.0","74.0"
"   新 宮 市","3.0","138.0","8.0","12.0","8.0","12.0","49.0","49.0","103.0","114.0","20.0"
"   紀の川市","3.0","184.0","27.0","32.0","25.0","34.0","37.0","29.0","39.0","57.0","17.0"
"   岩 出 市","2.0","550.0","83.0","87.0","101.0","89.0","86.0","104.0","157.0","189.0","28.0"
"","","","","","","","","","","",""
"   紀美野町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","",""
"   かつらぎ町","7.0","56.0","5.0","1.0","10.0","5.0","17.0","18.0","15.0","32.0","12.0"
"   九度山町","3.0","41.0","8.0","2.0","10.0","6.0","6.0","9.0","10.0","10.0","5.0"
"   高 野 町","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0"
"","","","","","","","","","","",""
"   湯 浅 町","1.0","97.0","12.0","14.0","16.0","17.0","21.0","17.0","20.0","37.0","9.0"
"   広 川 町","1.0","68.0","12.0","9.0","15.0","10.0","13.0","9.0","27.0","23.0","5.0"
"   有田川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","",""
"   美 浜 町","1.0","51.0","5.0","10.0","9.0","7.0","9.0","11.0","17.0","14.0","7.0"
"   日 高 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   由 良 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   印 南 町","1.0","24.0","4.0","3.0","7.0","4.0","2.0","4.0","12.0","10.0","6.0"
"   みなべ町","2.0","94.0","19.0","10.0","18.0","15.0","15.0","17.0","33.0","35.0","10.0"
"   日高川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","",""
"   白 浜 町","2.0","77.0","11.0","14.0","11.0","12.0","16.0","13.0","38.0","24.0","7.0"
"   上富田町","1.0","157.0","25.0","25.0","25.0","28.0","24.0","30.0","61.0","62.0","10.0"
"   すさみ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","",""
"   那智勝浦町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   太 地 町","1.0","17.0","1.0","2.0","7.0","3.0","4.0","0.0","4.0","10.0","5.0"
"   古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   北 山 村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"   串 本 町","2.0","77.0","9.0","9.0","16.0","9.0","19.0","15.0","25.0","43.0","10.0"
